Año,Marca,Modelo,Sub-Modelo/Trim Level,Motor/hp,Transmisión,MPG,Color,Precio,Millaje,FotoWeblink,Clase,Disponibles
"2023","Ford","Transit Connect Van XL","","4 Cylinder Engine","8-Speed SelectShift Automatic","24/24","Varios","$34,900","47,420","https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a163123092.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a1631233b3.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a163123585.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a1631236fa.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1","Auto","Disponible"
"2021","Kia","Soul LX","","4 Cylinder Engine","Intelligent Variable Automatic -inc: drive mode select","25/25","Varios","$20,900","33,320","https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a160e27a78.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a160e27dee.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a160e27fbf.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a160e28138.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1","Auto","Disponible"
"2024","Ford","F-150 XL","","8 Cylinder Engine","Electronic 10-Speed Automatic -inc: SelectShift w/progressive range select and selectable drive modes: normal, ECO, sport, tow/haul, slippery, deep snow/sand and mud/rut","16/16","Varios","$37,900","","https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a19525e378.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a19525e6ca.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a19525e87b.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a19525ea24.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1","Auto","Disponible"
"2024","Ford","F-150 XL","","8 Cylinder Engine","Electronic 10-Speed Automatic -inc: SelectShift w/progressive range select and selectable drive modes: normal, ECO, sport, tow/haul, slippery, deep snow/sand and mud/rut","16/16","Varios","$37,900","","https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a1973a3cd8.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a1973a4060.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a1973a42c5.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a1973a446d.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1","Auto","Disponible"
"2024","Ford","F-150 XL","","8 Cylinder Engine","Electronic 10-Speed Automatic -inc: SelectShift w/progressive range select and selectable drive modes: normal, ECO, sport, tow/haul, slippery, deep snow/sand and mud/rut","16/24","Varios","$35,900","40,000","https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a5e64fa9ade4.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a5e64fa9b2a8.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a5e64fa9b532.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a5e64fa9b7aa.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1","Auto","Disponible"
"2024","Kia","Forte LX","","4 Cylinder Engine","Intelligent Variable -inc: Sportmatic and Drive Mode Select (DMS) w/sport and comfort indicator","28/39","Varios","$22,990","15,000","https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a64f4ca8dd94.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a64f4ca8e11a.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a64f4ca8e2e3.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a64f4ca8e461.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1","Auto","Disponible"
"2022","Kia","Sportage LX","","4 Cylinder Engine","Electronic 6-Speed Automatic w/OD -inc: sportmatic shifting","23/30","Varios","$22,990","36,000","https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a5a48e7bf74e.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1","Auto","Disponible"
"2022","Nissan","Rogue SV","","3 Cylinder Engine","Xtronic CVT Automatic -inc: manual mode","30/37","Varios","$24,990","37,000","https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a5952eb76299.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a5952eb76589.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a5952eb768d2.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a5952eb76a60.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1","Auto","Disponible"
"2023","Mitsubishi","Outlander Sport ES","","4 Cylinder Engine","Continuously Variable (CVT) -inc: drive mode selector","23/29","Varios","$20,990","","https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a1edf8480f.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a1edf84b65.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a1edf84d28.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a1edf84e96.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1","Auto","Disponible"
"2024","Mitsubishi","ECLIPSE CROSS ES","","4 Cylinder Engine","CVT w/8-Step Sport Mode","25/28","Varios","Llamar","40,200","https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a1e5fc0e8f.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a1e5fc11a4.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a1e5fc136c.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1,https://apicdn.inventario360.com/img?src=https%3A%2F%2Fapicdn.inventario360.com%2Fvehicles%2FpGAQ71jx%2Fmedia_6a6a1e5fc14d7.jpg&w=1024&h=768&fit=cover&q=100&onerror=redirect&wm=https%3A%2F%2Fapicdn.inventario360.com%2Faccounts%2Fwatermark_783d3815748735be61527bd54d6452b1.png&wmProp=15&pos=bottom-right&v=1","Auto","Disponible"
